NUM;DATE;JACKPOT;N1;N2;N3;N4;N5;E1;E2;NBJEU;EU1;EU2;EU3;EU4;EU5;EU6;EU7;EU8;EU9;EU10;EU11;EU12;NB1;NB2;NB3;NB4;NB5;NB6;NB7;NB8;NB9;NB10;NB11;NB12;MT1;MT2;MT3;MT4;MT5;MT6;MT7;MT8;MT9;MT10;MT11;MT12
1345;11/08/2020;73000000;8;13;14;42;50;3;9;20424293;0;2;2;31;530;1726;1237;26334;27592;59707;144296;435472;0;0;0;2;88;284;211;5030;4797;10771;27703;80775;0;293190,7;68523,5;1376,9;148,3;48,1;47,2;11;11,8;10,1;5;5,3
1344;07/08/2020;64000000;5;20;21;36;41;6;11;27174033;0;2;1;41;674;1933;1192;28050;31560;62253;141282;427402;0;0;0;10;142;417;253;5651;6297;12579;27523;85100;0;195041,6;26048,2;1577,6;170,3;72,9;50,6;16,6;13,4;10,5;7,5;6,1
1343;04/08/2020;49000000;1;2;5;15;42;5;8;18470923;0;2;1;41;674;1933;1192;28050;31560;62253;141282;427402;0;0;0;10;142;417;253;5651;6297;12579;27523;85100;0;265150;123939,8;941,5;105,5;38,8;44,3;9,4;9,3;8,8;4,7;4,8
1342;31/07/2020;39000000;21;24;30;46;49;2;5;23076203;0;4;7;44;741;2093;1394;28516;32694;60275;135763;434961;0;2;1;15;161;533;298;6614;6721;11856;30848;90012;0;0;136226,5;1786,2;167,9;62,3;53,8;13,5;13,2;11,7;5,6;5,8
1341;28/07/2020;26000000;9;13;15;17;34;2;7;16839552;0;4;7;44;741;2093;1394;28516;32694;60275;135763;434961;0;2;1;15;161;533;298;6614;6721;11856;30848;90012;0;120865,8;16141,9;799,8;87,4;32,7;34,5;8,4;8,2;8,2;4,4;4,3
1340;24/07/2020;17000000;8;9;27;28;50;4;12;21521561;0;3;7;23;555;1058;1595;16672;27279;72778;84996;416403;0;0;0;4;94;196;295;2961;5439;14841;15640;85593;0;205961,3;20629,9;1955,6;149,2;82,7;38,5;18,4;12,5;8,7;9,1;5,8
1339;21/07/2020;50000000;14;15;24;29;42;2;4;1448393;1;3;3;37;555;1427;1204;21507;26912;56710;107554;399902;0;0;2;8;89;304;223;4364;5202;10904;22022;80072;49564587;177754,5;41544,1;1049,1;128,8;52,9;44,1;12,3;11;9,7;6,2;5,2
1338;17/07/2020;39000000;7;15;27;41;43;7;9;23469196;0;7;5;53;957;2455;1739;33820;40886;72686;160145;568827;0;3;1;13;196;550;360;7644;8380;14175;37620;118876;0;96257,2;31495,6;925,4;94,4;38,9;38,5;9,9;9,1;9,5;5,2;4,6
1337;14/07/2020;26000000;11;22;30;37;47;9;10;17164998;0;0;6;19;487;818;1138;12292;21782;51291;66459;325980;0;0;2;4;81;137;215;2027;3956;9547;11098;59649;0;0;101330,7;1888,1;135,6;85,4;43,1;19,9;12,5;9,9;9,2;5,9
1336;10/07/2020;17000000;15;17;23;30;38;2;7;23442626;0;9;14;66;964;2649;1909;36019;42487;80362;177965;573219;0;6;4;22;225;680;413;8672;9628;17021;43749;124906;0;74781,9;11235,7;742,3;93,6;36;35,1;9,3;8,8;8,6;4,7;4,6
1335;07/07/2020;143000000;12;16;23;33;41;8;10;31476871;1;8;16;54;1068;1861;2492;27209;45013;108567;143534;631726;0;2;2;7;214;379;499;5595;9380;21980;30484;130601;144542315;112962,6;13200,6;1218,2;113,4;68,8;36,1;16,5;11,1;8,6;7,8;5,6
1334;03/07/2020;130000000;4;16;27;37;39;3;6;44003016;0;10;33;98;1552;3713;3327;52823;66033;138411;275443;940515;0;1;7;26;336;955;671;14036;15598;31922;73256;226377;0;126332,6;8947,2;938,4;109,1;48,2;37,8;11,9;10,6;9,4;5,7;5,3
1333;30/06/2020;61000000;1;6;11;28;42;2;10;19683531;0;1;16;23;654;1299;1688;18420;28487;71847;95075;400514;0;0;5;8;168;328;390;4041;6339;16054;20120;85696;0;565114,1;8254,7;1788,6;115,8;61,6;33,3;15,2;11;8,1;7,4;5,5
1332;26/06/2020;51000000;1;10;12;21;26;5;11;23713101;0;9;18;38;1049;1633;2726;22953;41590;98412;117337;530351;0;2;9;7;248;295;719;4116;9253;24020;20362;108449;0;75644,7;8839,7;1304,2;87;59,1;24,8;14,7;9;7,1;7,2;5
